Date,target_tb,proba_ebm,signal_ebm,proba_lgbm,signal_lgbm,proba_student,signal_student
2023-04-21,0,0.0,0,0.4678416413518071,1,0.9954319761668323,1
2023-04-24,0,0.0,0,0.4663127340827093,1,0.9954319761668323,1
2023-04-25,1,0.0,0,0.4881527562884691,1,0.9954319761668323,1
2023-04-26,1,0.0,0,0.6358108630656744,1,0.9954319761668323,1
2023-04-27,0,0.0,0,0.5824239844888236,1,0.857298356373136,1
2023-04-28,0,0.0,0,0.3408270903813718,1,0.857298356373136,1
2023-05-01,0,0.0,0,0.24759643291494046,0,0.14114611023829002,0
2023-05-02,0,0.0,0,0.28491761684364714,0,0.22081676617432636,0
2023-05-03,0,0.0,0,0.3721117229708471,1,0.22081676617432636,0
2023-05-04,1,0.0,0,0.3973488473429822,1,0.22081676617432636,0
2023-05-05,0,0.0,0,0.6749830419960526,1,0.9954319761668323,1
2023-05-08,0,0.0,0,0.4004328717175796,1,0.857298356373136,1
2023-05-09,1,0.0,0,0.6238741580122102,1,0.9954319761668323,1
2023-05-10,0,0.0,0,0.5452792628180726,1,0.9954319761668323,1
2023-05-11,1,0.0,0,0.3327461890886747,1,0.22081676617432636,0
2023-05-12,1,0.0,0,0.3656920462689862,1,0.22081676617432636,0
2023-05-15,1,0.0,0,0.5191566016493816,1,0.9954319761668323,1
2023-05-16,1,0.0,0,0.4782130469306497,1,0.9954319761668323,1
2023-05-17,0,0.0,0,0.5264579316356983,1,0.9954319761668323,1
2023-05-18,0,0.0,0,0.32968996476266327,1,0.22081676617432636,0
2023-05-19,0,0.0,0,0.12321089371889239,0,0.14114611023829002,0
2023-05-22,0,0.0,0,0.22808915559217224,0,0.14114611023829002,0
2023-05-23,1,0.0,0,0.25227625838047424,0,0.22081676617432636,0
2023-05-24,1,0.0,0,0.3586838855591915,1,0.22081676617432636,0
2023-05-25,1,0.0,0,0.6334084333897892,1,0.9954319761668323,1
2023-05-26,1,0.0,0,0.3765947917915109,1,0.857298356373136,1
2023-05-30,1,0.0,0,0.13961543281014294,0,0.14114611023829002,0
2023-05-31,1,0.0,0,0.2567741667958329,0,0.22081676617432636,0
2023-06-01,1,0.0,0,0.3384896580354597,1,0.22081676617432636,0
2023-06-02,1,0.0,0,0.1979921071916904,0,0.14114611023829002,0
2023-06-05,1,0.0,0,0.14614032201115182,0,0.0311802245482905,0
2023-06-06,1,0.0,0,0.1858530556088885,0,0.0311802245482905,0
2023-06-07,1,0.0,0,0.1707459993288011,0,0.0311802245482905,0
2023-06-08,1,0.0,0,0.2956991765073744,0,0.22081676617432636,0
2023-06-09,1,0.0,0,0.19905733905847062,0,0.0311802245482905,0
2023-06-12,1,0.0,0,0.2526088860733984,0,0.22081676617432636,0
2023-06-13,1,0.0,0,0.12802358360251423,0,0.0311802245482905,0
2023-06-14,0,0.0,0,0.1686467522948217,0,0.0311802245482905,0
2023-06-15,0,0.0,0,0.20142199618891157,0,0.0311802245482905,0
2023-06-16,0,0.0,0,0.18897945751976974,0,0.0311802245482905,0
