Date,target_tb,proba_ebm,signal_ebm,proba_lgbm,signal_lgbm,proba_student,signal_student,regime,gamma_bull,signal_ebm_iter2,signal_ebm_breakout,signal_lgbm_iter2,signal_lgbm_breakout,signal_student_iter2,signal_student_breakout
2020-10-12,0,0.0,0,0.1457851693006117,0,0.0311802245482905,0,0,4.052673010291925e-08,0,0,0,0,0,0
2020-10-13,0,0.0,0,0.1562238513118647,0,0.0311802245482905,0,0,7.537332814680777e-08,0,0,0,0,0,0
2020-10-14,0,0.0,0,0.2236868750752943,0,0.0311802245482905,0,0,1.1043416780441093e-08,0,0,0,0,0,0
2020-10-15,0,0.0,0,0.3087155251906761,1,0.2208167661743263,0,0,1.2852517656805404e-08,0,0,0,0,0,0
2020-10-16,0,0.0,0,0.3199432602349948,1,0.2208167661743263,0,0,2.907752567374132e-09,0,0,0,0,0,0
2020-10-19,0,0.0,0,0.3335987680154922,1,0.2208167661743263,0,0,1.3989275041593861e-11,0,0,0,0,0,0
2020-10-20,0,0.0,0,0.4652908162896326,1,0.3940040941207535,1,0,1.054844895372799e-11,0,0,0,0,0,0
2020-10-21,0,0.0375,0,0.4546248796693395,1,0.3940040941207535,1,0,1.6728230010040006e-12,0,0,0,0,0,0
2020-10-22,0,0.0,0,0.4581309630607804,1,0.3940040941207535,1,0,1.5042724937127103e-11,0,0,0,0,0,0
2020-10-23,0,0.0,0,0.39204509595544,1,0.3940040941207535,1,0,3.6725419091952025e-11,0,0,0,0,0,0
2020-10-26,0,0.0,0,0.362299326506836,1,0.3940040941207535,1,0,1.857081379686129e-12,0,0,0,0,0,0
2020-10-27,0,0.0375,0,0.4029348725438619,1,0.3940040941207535,1,0,9.138058974225174e-18,0,0,0,0,0,0
2020-10-28,1,0.0,0,0.4054341820831101,1,0.3940040941207535,1,0,5.726602144596751e-25,0,0,0,0,0,0
2020-10-29,1,0.0643564356435643,0,0.377592283547979,1,0.3940040941207535,1,0,2.7825132858716745e-29,0,0,0,0,0,0
2020-10-30,1,0.0375,0,0.3726478098919324,1,0.3940040941207535,1,0,1.0080706936559701e-25,0,0,0,0,0,0
2020-11-02,1,0.3684210526315789,1,0.4968727728712276,1,0.958225791033362,1,0,9.913040610561033e-25,0,0,0,0,0,0
2020-11-03,1,0.2487046632124352,0,0.4467721131772617,1,0.958225791033362,1,0,4.5008647130043617e-23,0,0,0,0,0,0
2020-11-04,1,0.1333333333333333,0,0.421965707111496,1,0.958225791033362,1,0,1.1564998645126857e-20,0,0,0,0,0,0
2020-11-05,1,0.0,0,0.1777529954025063,0,0.2208167661743263,0,0,3.599101619489221e-13,0,0,0,0,0,0
2020-11-06,1,0.0,0,0.1853005201463271,0,0.2208167661743263,0,0,2.947046363407275e-10,0,0,0,0,0,0
2020-11-09,0,0.0375,0,0.2614800487860401,0,0.2208167661743263,0,0,1.522800679807385e-08,0,0,0,0,0,0
2020-11-10,0,0.0,0,0.2714962000670964,0,0.2208167661743263,0,0,1.8370063346755078e-08,0,0,0,0,0,0
2020-11-11,0,0.0,0,0.3124657123346193,1,0.2208167661743263,0,0,1.5178442631283546e-07,0,0,0,0,0,0
2020-11-12,1,0.0,0,0.1880191824758421,0,0.2208167661743263,0,0,1.2508933958210015e-07,0,0,0,0,0,0
2020-11-13,0,0.0,0,0.2923052307601642,0,0.2208167661743263,0,0,3.408961023007973e-08,0,0,0,0,0,0
2020-11-16,0,0.0,0,0.2314959041188792,0,0.2208167661743263,0,0,1.2376434529692218e-06,0,0,0,0,0,0
2020-11-17,0,0.0,0,0.1999370400264108,0,0.0311802245482905,0,0,3.7789817220428985e-06,0,0,0,0,0,0
2020-11-18,0,0.0,0,0.251272220491182,0,0.2208167661743263,0,0,4.1009062772974227e-07,0,0,0,0,0,0
2020-11-19,1,0.0375,0,0.2479161581966519,0,0.3940040941207535,1,0,1.9093617925902187e-06,0,0,0,0,0,0
2020-11-20,1,0.0,0,0.2414868397961115,0,0.2208167661743263,0,0,1.9582388823111228e-06,0,0,0,0,0,0
2020-11-23,1,0.0375,0,0.3666326090873201,1,0.3940040941207535,1,0,2.9353893302916783e-06,0,0,0,0,0,0
2020-11-24,0,0.0375,0,0.3757535737896191,1,0.3940040941207535,1,0,2.401884270375921e-06,0,0,0,0,0,0
2020-11-25,0,0.0,0,0.229276247829506,0,0.2208167661743263,0,0,7.067311714704276e-05,0,0,0,0,0,0
2020-11-27,0,0.0,0,0.2356200728322602,0,0.2208167661743263,0,0,0.00020461725616652209,0,0,0,0,0,0
2020-11-30,1,0.0,0,0.2187769387588054,0,0.2208167661743263,0,0,0.000273776610994688,0,0,0,0,0,0
2020-12-01,0,0.0,0,0.1933854080654103,0,0.2208167661743263,0,0,0.0003692398200161853,0,0,0,0,0,0
2020-12-02,0,0.0,0,0.1769816154156817,0,0.2208167661743263,0,0,0.0005185625811552932,0,0,0,0,0,0
2020-12-03,0,0.0,0,0.1551837241686565,0,0.2208167661743263,0,0,0.00032316067588497,0,0,0,0,0,0
2020-12-04,0,0.0,0,0.170767287032593,0,0.2208167661743263,0,0,0.00018606906416659911,0,0,0,0,0,0
2020-12-07,0,0.0,0,0.1175324094645146,0,0.0311802245482905,0,0,0.00021399218149663305,0,0,0,0,0,0
2020-12-08,0,0.0,0,0.1628535975535967,0,0.0311802245482905,0,0,0.00010105822347184616,0,0,0,0,0,0
2020-12-09,0,0.0375,0,0.1545580460631409,0,0.2208167661743263,0,0,5.7801232179938705e-05,0,0,0,0,0,0
2020-12-10,0,0.1333333333333333,0,0.3076169427659561,1,0.3940040941207535,1,0,6.930818934809802e-06,0,0,0,0,0,0
2020-12-11,1,0.1576923076923077,0,0.3676607688280372,1,0.8433451118963488,1,0,2.075112369165818e-06,0,0,0,0,0,0
2020-12-14,1,0.1576923076923077,0,0.4700779398384934,1,0.8433451118963488,1,0,1.4943112011859424e-07,0,0,0,0,0,0
